Name,Price,Discount
Johnnie Walker Johnnie Walker Red Label - 750 ML,"KSh 1,799",22%
Miniso Encounter Series Reed Diffuser Lavender 28mL,KSh 459,No discount
Itel ICW-051U UK Standard 5W Charger,KSh 250,38%
Amaya BD25 Wireless Bluetooth Speaker Colorful Lights Multiple Functions FM Radio,"KSh 2,255",No discount
Defacto Man Slim Fit Knitted Short - Black,KSh 891,60%
Nunix 3 Tier Wooden Kitchen Rack - Blue,"KSh 2,304",No discount
Bata NAVY BLUE KEVIN SLIDES,KSh 599,No discount
Maybelline Superstay Vinyl Ink 25 Red-Hot,"KSh 1,817",35%
NIVEA Active Lip Balm For Men - 4.8g (Pack Of 2),KSh 553,24%
Maybelline SuperStay 30H Active Wear Foundation- 56 TOFFEE,"KSh 2,299",4%
Nice & Lovely Nice & Lovely For Men Energise & Hydrate Body Lotion 400ml,KSh 295,19%
Miniso Hydrating Facial Sheet Mask (Bulgarian Rose),KSh 113,No discount
Sundabest 6 PCS Black Classy Ceramic Bowl -10.5 Inch (9283),"KSh 1,480",No discount
Alto Alto Carbarnet Sauvignon - 750ml,"KSh 4,714",No discount
Sunlight Spring Sensations 1kg + Free 400g,KSh 450,No discount
"Amtec 24 Inch, Digital LED TV - HDMI,USB PORT-Amtec","KSh 8,499",29%
Boma Food Chopper  BM-7002 2L - 2-Speed Setting with 300W motor,"KSh 1,584",No discount
Velvex White Serviettes Value Pack 200 Sheets,KSh 220,20%
Rosy Liquid Hand Wash Soap Lemon Fresh 500ml With Pump,KSh 155,No discount
Sundabest 1.8ltrs Serving High Quality Jug (11590),KSh 480,No discount
Nunix AK-300 - 2 In 1 Blender With Grinding Machine – 1.5L – Blue,"KSh 2,240",No discount
"Freeyond F9,4GB+64GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones,Grey","KSh 11,303",36%
L'Oréal professionnel Scalp Advanced Anti-Dandruff Dermo-Clarifier Shampoo  300ml,"KSh 2,488",No discount
"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Reef","KSh 2,000",No discount
UR Fashion 18-Inch Multifunctional Large Capacity Business College School Travel Laptop Backpack - Black,"KSh 1,459",No discount
Ramtons RM/306 - 150ml Steam Iron - White & Green,"KSh 2,200",No discount
Oraimo Duraline  DataCable Lightning & Type-C & Micro USB,KSh 800,33%
Rashnik RN-2451 Hot And Normal Stand Alone Dispenser (White&Blue),"KSh 3,630",No discount
Oraimo Earphone OTW-340 PhantomBlack Online,"KSh 2,100",28%
Nunix Nunix Professional Hair Blow Dryer 2400W,"KSh 1,724",1%
Vaseline Petroleum Jelly Baby- 95ml,KSh 150,No discount
Defacto Woman Traditional Regular Fit C Neck Woven Short Sleeve Shirt - Ecru,KSh 835,60%
Sun King Home 40 Plus Solar Home Light System - Yellow,"KSh 6,753",1%
Revlon ColorStay Makeup Combination/Oily Skin SPF15 30ml- Caramel,"KSh 1,700",48%
Adidas Duramo SL Men Shoes,"KSh 7,182",30%
Proline Bentonite Clumping Cat Litter Oduorless 5L,"KSh 1,267",No discount
Royco Turmeric Ground Spice 100g,KSh 155,No discount
Adidas Alliver M Men Running Shoes,"KSh 3,841",65%
Binatone POP-212 Two Slice Auto Pop-up Toaster ? Black (1YR WRTY),"KSh 2,449",51%
Adidas Adilette Aqua Slides Boys,"KSh 1,999",57%
Miniso Flower Series-Reed Diffuser - Lily & Jasmine,KSh 359,No discount
Oraimo Firefly 3 10W Fast Charging Charger Kit With TypeC,KSh 790,No discount
Miniso Golden Cap Oil-based Nail Polish - Base Coat,KSh 159,No discount
Nice & Lovely Soothing & Calming Baby Oil - 100ml,KSh 650,No discount
Quechua Backpack Nh Arpenaz 100 10l Black Dd 10l,"KSh 1,050",No discount
Maybelline Superstay Matte Ink Liquid Lipstick - 65 Seductress,"KSh 2,400",No discount
Oraimo Wireless Earphone OEB-E38S - Black,"KSh 1,100",15%
Defacto Woman Young Tiered Long Sleeve Woven Dress - Black,"KSh 1,337",60%
Geisha Green Aloe Vera and Honey Value Pack (3 Pieces),KSh 335,No discount
Oraimo Necklace 4 Dual EQ Multiple Connection 50-hr Playtime Quick Charge Neckband-Black,"KSh 2,470",45%
Velvex White Standard Serviettes 100 Sheets,KSh 140,No discount
Harpic Harpic Toilet Cleaner: Floral 1000ml,"KSh 1,150",No discount
"Miniso Construction Vehicles Building Blocks - Excavator, 36 Pcs",KSh 193,No discount
Oraimo PowerHub C 6-In-1 Smart Fast Charging Portable Power Expansion Cube-White,"KSh 1,230",39%
Defacto Woman Special Collection Paperbag Denim Trousers - Blue,"KSh 1,637",60%
Defacto Man Young Regular Fit Crew Neck Short Sleeve Knitted T-Shirt - Black,KSh 777,60%
Go Turkey CRYSTAL TRANSPARENT JUG 1 LITER,KSh 999,50%
Oraimo Boom Powerful Portable Wiress Speaker- Black 1YR WRTY,"KSh 6,999",22%
Miniso City Series-Reed Diffuser - Rose & Cedar,KSh 399,No discount
"Danny Home Sevdikler Tall Glasses, Set Of 6 (1988-8)",KSh 960,No discount
Ngoma Black Ladies' Ngoma,KSh 399,No discount
Nice & Lovely Body Oil - 100ml,KSh 750,No discount
L'Oréal professionnel L&rsquo;Or&eacute;al Professionnel Curl Expression Intensive Moisturizer Mask - Natural Feel 500ml,"KSh 4,645",No discount
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),KSh 900,No discount
Rashnik 3 compartment Oval lunch box with spoon.,KSh 276,No discount
Velvex Multipurpose Sanitizer Spray 530ml,KSh 500,No discount
Defacto Man Casual BackPack - Beige,KSh 777,60%
Solarmax 400watts Solar Fullkit,"KSh 37,550",47%
"NIVEA Full Bloom Pack - Waterlily Shower Gel-250ml, Pearl & Beauty RollOn-50ml","KSh 1,102",5%
Miniso Professional Double-Sided Earpick Ear Cleaner Canal Cleaner,KSh 259,No discount
Miniso Mini Family Sports Desktop Trash Can Minisau,KSh 359,No discount
NIVEA MEN Energy Shower Gel - 250 Ml,KSh 519,4%
Maybelline Superstay Vinyl Ink 30 Unrivalled,"KSh 1,804",35%
Kotex Kotex Panty Liners 20'S Deo,KSh 179,1%
Adidas Adilette Shower Slides Unisex,"KSh 2,299",50%
Tanqueray Tanqueray London Dry Gin - 750ml,"KSh 2,399",17%
"Dettol Dettol Bathing Soap Cool, 60g",KSh 70,No discount
Velvex Disinfectant Spray Summer Breeze 530ml,KSh 250,No discount
Velvex Cling Film 45cm X 15m Single Roll,KSh 120,20%
BOMGE 4-Channel Dynamic Wireless Microphone System Red And Grey,"KSh 5,321",37%
Red Berry RSF810 Insulated Double Wall Vacuum Bottle – 700ml - Gold,KSh 792,No discount
L'Oréal professionnel  Absolut Repair Molecular Leave-In-Mask 100ML,"KSh 3,649",No discount
"LASA TV Stand Leg Table Top For 32-70"" TV","KSh 1,650",31%
Mara Spirulina Powder- 100g,"KSh 1,000",No discount
Defacto Woman Traditional Regular Fit Crew Neck Knitted Short Sleeve T-Shirt - Ecru,KSh 622,60%
"C Idea 9 Inches Android 12 Tablets WiFi 256GB SIM,1280 * 800,8000mAh Battery Tablet Pink","KSh 9,800",47%
Adidas Galaxy 6 Women Shoes,"KSh 4,590",50%
LASA CAT6A Ethernet Cable,KSh 350,50%
Rexona Active Dry Antiperspirant Deodorant Roll On - 50ml,KSh 395,No discount
Mara Aloe Vera Gel- 200ml,KSh 675,16%
Mizani Strength Fusion Intense Night Time Treatment 150ml,"KSh 3,815",No discount
Mortein MORTEIN DOOM AEROSOL AIKO - ODOURLESS 400ml,KSh 999,23%
EDENBERG EB-3605 – 7PCs Kitchen Tools Utensils Set – Black Grey,"KSh 1,320",No discount
Mara  Rose Water (Organic) -125ml,KSh 650,19%
"Sun King Solar Fan 16"" With 20W Solar Panel -Yellow","KSh 14,520",No discount
Oraimo Firefly 3 10W Fast Charging Charger Kit With TypeC,KSh 500,32%
Mortein MORTEIN DOOM AEROSOL AIKO - ODOURLESS 300ml,"KSh 1,000",No discount
Oraimo FreePods Lite ENC 40-hour Playtime Havybass True Wireless Earbuds,"KSh 1,953",22%
Vitron BD-566-A Hot And Cold Water Dispenser - White,"KSh 9,770",11%
UNCOVER HYDRATE AND PROTECT DUO,"KSh 4,997",No discount
Rashnik TV Wall Mount TV Stand For 40” – 80”,KSh 610,No discount
"C Idea Tablet 7-Inch, Android Dual Camera Sim 32gb Storage, Adult Tablet Black","KSh 4,899",49%
Miniso Battery Powered Roman Pillar Design Electric Toothbrush with 3 Heads  Model: BBKH06 - Purple,KSh 529,No discount
Defacto Woman Young Fitted Crew Neck Knitted Short Sleeve T-Shirt - Black,KSh 646,50%
Pride Pride Washing Paste Lime 400gm,KSh 215,No discount
Mara Turmeric Powder 250g,KSh 400,20%
"VON VEL32HSVF, 32"" LED TV HD Ready Smart TV ? Black (1YR WRTY)","KSh 16,299",20%
Rosy Printed Serviettes 100 Sheets,KSh 120,No discount
L'Oréal Paris Infallible 24H More Than Concealer 338 Honey,"KSh 1,435",30%
SIMI S300P Feature Phone 1.77inch Dual SIM Card 1050mAh,"KSh 1,399",7%
Maybelline Fit Me Matte And Poreless Foundation 30ml - 358 LATTE,"KSh 1,700",No discount
Defacto Woman Casual Regular Fit Woven Long Sleeve Shirt - Ecru,"KSh 1,529",50%
Defacto Woman Standart Fit Knitted Short - Orange,KSh 669,60%
Defacto Woman Traditional Loose Fit Crew Neck Woven Short Sleeve Blouse - Navy,KSh 888,60%
Maybelline Volume Express Colossal Big Shot Mascara - Black,"KSh 1,625",No discount
Sun King Boom Solar Lamp 3 In 1 With FM,"KSh 5,939",No discount
Bisutang Vitamin C Orange Extract Korean Facial Sheet Mask,KSh 150 - KSh 850,40%
Sundabest 6 PCS White With Decor Ceramic Dinner Plates (11952),KSh 920,No discount
Pepsodent Triple Protection Herbal Toothpaste - Value Pack,KSh 355,No discount
Velvex Toilet Paper White 10 Pack Unwrapped,KSh 459,23%
Ranee Ranee Premium Basmati Rice - 2 Kg,KSh 597,20%
Baby Care Grooming Kit,KSh 619,31%
Defacto Woman Coool Loose Fit Knitted Short Sleeve T-Shirt - Anthracite,KSh 585,60%
Defacto Woman Coool Oversize Fit Knitted Short Sleeve T-Shirt - White,KSh 622,60%
Dove Baby Lotion Fragrance free 200ml,KSh 754,1%
Mara Licorice Powder 100g,KSh 650,19%
Ramtons RM/672 - 20lt Manual Microwave - Black (1YR WRTY),"KSh 10,160",7%
Foldable Kids Interactive Baby Walker - Blue,"KSh 3,549",11%
Defacto Boy Casual Regular Fit Crew Neck Knitted Short Sleeve T-Shirt - Anthracite,KSh 533,60%
Garnier Skin Active Hydrabomb Green Tea Tissue Face Mask,KSh 365,No discount
Defacto Woman Coool Fitted Knitted Short Sleeve T-Shirt - Blue,KSh 604,50%
North Star Blue Bata Bullets,KSh 999,No discount
L'Oréal professionnel Absolut Repair Molecular Hair Rinse-off Serum 250ML,"KSh 3,649",No discount
Valon Valon Lotion Body Milk 400ml,KSh 255,No discount
"Miniso Solid Color Men's Flip-Flops(Black,43-44)",KSh 419,No discount
Go Turkey Grey Storage Organizer Box,"KSh 1,398",53%
Velvex Disinfectant Spray Pine 530ml,KSh 250,No discount
Defacto Woman Core Regular Fit V Neck Knitted Short Sleeve T-Shirt - Black,KSh 588,50%
Sundabest 58 Piece White Plain Dinner Set (0192),"KSh 5,880",No discount
Defacto Girl Casual Regular Fit Short Sleeve Woven Dress - Red,"KSh 1,337",60%
Maybelline SuperStay 30H Active Wear Foundation- 59 GOLDEN CARAMEL,"KSh 2,400",No discount
"C Idea 9 Inches Android 12 Tablets WiFi 256GB SIM ,1280 * 800,8000mAh Battery Tablet Green","KSh 10,000",46%
"C Idea Android 12 Tablet SIM 256GB ROM 800*1280 With Case, Keyboard CM835 Blue","KSh 7,999",47%
Maybelline Superstay Matte Ink Liquid Lipstick - 117 Ground Breaker,"KSh 2,299",4%
Aquafresh Aquafresh Herbal - 100ml,KSh 298,No discount
"Vivo V25 5G Diamond Black 64MP Camera, 8GB + 8GB Extended RAM,256GB ROM,4500mAh (2YR WRTY)","KSh 24,499",47%
Nunix AK-200 – 2 In 1 Blender With Grinding Machine -1.5L – 350W – Black,"KSh 2,240",No discount
Adidas Adilette Aqua Slides Women,"KSh 1,999",57%
Gillette Gillette Venus Smooth Cart 4s,"KSh 1,648",No discount
Maybelline Superstay Matte Ink Liquid Lipstick - 118 Dancer,"KSh 2,400",No discount
L'Oréal professionnel Absolut Repair Conditioner  200ml,"KSh 2,156",No discount
Rashnik 482 ml Insulated Stainless Steel Pink Food Thermos (RN-1438PINK),KSh 600,No discount
Vision Plus Level Up - Bluetooth Speaker - Vibe Series - Black (2YRs WRTY) (2YRs WRTY),"KSh 2,799",44%
Adidas Tensaur Sport 2.0 K Kids Training Lace Shoes,"KSh 4,348",30%
Revlon Ultra HD Matte Mousse Lip Color- 845 Rocky Plum,"KSh 1,250",50%
LASA Computer Monitor Laptop Notebook Riser Desk Stand,"KSh 1,950",43%
Haier HWM80-1269S6 8KG Top Load Washing Machine,"KSh 42,695",No discount
Aworky Limited Portable & Foldable Baby Bassinet /net- Pink,KSh 899,31%
Nice & Soft White Standard Serviettes 100 Sheets,KSh 104,20%
Rashnik 3L Wooden Dish Rack – Brown,"KSh 2,160",No discount
Miniso City Series-Reed Diffuser - Lemon,KSh 359,No discount
"Dettol Dettol Soap Skincare 175g x 2 Twin, Save 50",KSh 550,No discount
Adidas Duramo SL Men Shoes,"KSh 5,130",50%
L'Oréal professionnel Steampod 3.0 Steam Powered Flat Iron & Hair Straightener,"KSh 33,900",No discount
Maybelline New York Falsies Surreal Extensions Mascara - Waterproof,"KSh 2,250",No discount
Nice & Lovely Cocoa Butter Jelly 250g,KSh 465,No discount
Maybelline Fit Me Matte And Poreless Foundation - 220 NATURAL BEIGE,"KSh 1,790",No discount
Catpapa 0-18 Months Baby Girl Summer Costumes Ribbed Bodysuit Floral Pants Set,"KSh 1,592",40%
Body Sculpture A Pair Of 2Kg Exercices & Fitness Smart Dumbbell,"KSh 1,800",No discount
Adidas Runfalcon 3.0 El K Kids,"KSh 3,657",50%
Defacto 2 Piece Woman Casual Regular Fit Crew Neck Short Sleeve Homewear Knitted Sets - Ecru,"KSh 1,421",60%
Miniso Sewing Box Tailor Box Sewing Kit Sewing Case (Mint Green).,KSh 359,No discount
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black.,"KSh 14,200",No discount
UR Fashion 18-Inch Multifunctional Large Capacity Business College School Travel Laptop Backpack - Black,"KSh 1,459",No discount
North Star Black Bata Bullets,KSh 999,No discount
Mara Fuller's Earth Clay 100g,KSh 400,27%
Mara Ayurvedic Shampoo Bar- 100g,KSh 400,No discount
Maybelline Fit Me Matte And Poreless Foundation - 355 PECAN,"KSh 1,790",No discount
LASA 4K HDMI 2.0 60/30hz 1.5m Flat Cable,KSh 495,48%
Adidas Runfalcon 3.0 K Kids Running Shoes,"KSh 3,657 - KSh 7,314",50%
"Oraimo Watch ER 1.43'' AMOLED, BT Call,  IP68 Smart Watch_ Black","KSh 9,000",No discount
Defacto Woman Casual Oversize Fit Woven Long Sleeve Shirt - Brown,"KSh 1,121",60%
"EDENBERG Frypan With Lid 20cm, EB-13026","KSh 3,360",No discount
Defacto Woman Young Fit And Flare Wrap Short Sleeve Knitted Dress - Black,KSh 919,60%
Revlon Colorburst Balm Stain - Irresistible,"KSh 1,000",34%
Defacto Man Special Collection Straight Fit Denim Trousers - Blue,"KSh 1,809",60%
Ramtons RW/116 - Twin Tub 10Kg Washer - White (1YR WRTY),"KSh 35,700",10%
L'Oréal professionnel L&rsquo;Or&eacute;al Professionnel Curl Expression 10-in-1 Cream-in-Mousse  250ML,"KSh 3,152",No discount
Adidas Advantage Base Court Lifestyle Shoes Men,"KSh 7,692",30%
Adidas Zenith M Men Flip-flops,"KSh 2,183",64%
Adidas Men Essentials Single Jersey Tapered Elasticized Cuff Logo Joggers PANTS,"KSh 3,841",50%
Dettol Dettol Soap Cool 125g,KSh 191,5%
Fay Cling Film Wrap 30cm*30mtr,KSh 142,1%
Maybelline Superstay Vinyl Ink 40 Witty,"KSh 1,817",35%
Adidas Kids Unisex Big Logo Essentials Cotton Hoodie,"KSh 3,474",50%
Revlon So Fierce Mascara,"KSh 2,862",No discount
Nice & Lovely Castor Oil Rinse Off Treatment 140ml,KSh 280,No discount
"U&I Enc Air 01 Immersive Earbuds, Green","KSh 1,599",47%
L'Oréal professionnel L&rsquo;Or&eacute;al Professionnel - Absolut Repair Shampoo 500ml,"KSh 3,483",No discount
Sunlight Antibacterial Dishwashing Liquid 750ml,KSh 300,No discount
Mara Cassia Powder 100g,KSh 450,10%
Nice & Lovely Aloevera Herbal Lotion 400ml,KSh 295,19%
Miniso Solid Color Handheld Stainless Steel Water Bottle 1.4L - Green,"KSh 1,399",No discount
Danny Home 6 Pcs Whiskey Glasses ( 1988-10),KSh 960,No discount
"Infinix Note 40 Pro+ 5G, 6.78"", 256GB + 12GB RAM (UPTO 24GB), 4600mAh, Vintage Green","KSh 44,231",13%
Revlon ColorStay Makeup Combination/Oily Skin SPF15 30ml- Hickory,"KSh 1,700",48%
Fay Fay Aluminum Foil 30cm*5m,KSh 112,1%
Adidas MarlinRun M MEN,"KSh 7,682",No discount
Rashnik 3 compartmet snack box (RN-1493),KSh 180,No discount
LASA ROLLING EXTENDABLE CLOTHING RACK - BLACK,"KSh 4,050",32%
Oraimo Slice Link 10000mAh 12W Power Bank_ Black,"KSh 1,530",24%
U&I Bullet Series 10000mAh Power Bank - Black,KSh 999,43%
Adidas Widewalk M Men Running Shoes,"KSh 3,290",67%
Defacto Woman Coool Fitted Knitted Short Sleeve T-Shirt - White,KSh 604,50%
Pride Pride Washing Paste Lime 800gm,KSh 375,No discount
Mara Black Seeds (Kalonji)-250g,KSh 800,No discount
Jik Jik Bleach Regular 250ml,KSh 170,No discount
Jik Jik Bleach Regular 70ml,KSh 25,29%
Revlon ColorStay Makeup Combination/Oily Skin SPF15 30ml-Medium Beige,"KSh 1,700",48%
U&I Airhost Series I UiPB 3726  Power Bank,"KSh 1,799",49%
Mizani Coconut Souffle -  226.8g,"KSh 4,479",No discount
Valon Valon Petroleum Jelly Cocoa Soft 250ml,KSh 314,No discount
Rashnik RN-8022 Solar Light 25w,"KSh 2,300",No discount
SIMI S102 1.77inch Feature Phone Dual SIM Card 1050mAh,"KSh 1,499",12%
LASA 8 Tier Shoe Rack - Black,"KSh 7,950",25%
Sunlight Strawberry Dishwashing Liquid 400ml,KSh 185,No discount
Mara Chia Seeds 250g,KSh 400,20%
NIVEA MEN Energy Shower Gel For Men - 500 ml,KSh 976,6%
Defacto Woman Casual Regular Fit Woven Long Sleeve Shirt - Black,"KSh 1,293",50%
Jbl Tune 110 In-Ear Headphones - Black,"KSh 1,600",No discount
L'Oréal Paris Revitalift Laser Renew Night Cream - 50ml,"KSh 2,850",No discount
Defacto Girl Casual Flare Fit Denim Trousers - Blue,"KSh 1,379",60%
VIM Scouring Powder Lavender 1kg,KSh 185,No discount
"Euroken New KOLAV-A51 5"" X 2 active rechargeable portable speaker","KSh 2,999",17%
Superfoam Morning Glory Heavy Duty Quilted Mattress - Red & White,"KSh 8,421 - KSh 16,842",No discount
"Ramtons RM/541 - 3-IN-1 Juicer, Blender & Grinder- Black (1YR WRTY)","KSh 9,300",No discount
Ramtons RW/154- 7KG Front Load Washing Machine (1YR WRTY),"KSh 58,899",3%
Aworky Limited Plastic Cloth Storage Organization,"KSh 4,499",47%
Miniso Simple Desktop Trash Can,KSh 299,No discount
Euroken New Ms-1754BT High Fidelity Surround Sound Home Theater System Outdoor Portable Wireless Karaoke Speaker,"KSh 1,377",26%
Rosy Liquid Hand Wash Soap Fresh Flowers 500ml With Pump,KSh 155,No discount
"Amtec 32"" M6 Digital LED TV DVBt2 HD AC","KSh 11,530",11%
LASA Clothes Drying Rack Foldable Laundry Stand,"KSh 7,950",26%
Defacto Woman Standart Fit Knitted Short - Green,KSh 669,60%
LASA 5-Drawer Storage - Rustic Brown,"KSh 7,550",24%
Rashnik Kitchen set with scissors,KSh 383,1%
Rosy Antibacterial Hand Sanitizer With Pump - 500ml,KSh 335,No discount
"U&I Enc Air 02 Earbuds, White","KSh 1,399",44%
Ramtons RM/594-Corded Electric Kettle 1.7 Ltrs- Black (1YR WRTY),"KSh 2,320",No discount
Miniso We Bare Bears Hand Cream Set(Strawberry+Avocado+Lemon),KSh 359,No discount
Olmeca Olmeca Tequila Gold - 700ml,"KSh 2,399",19%
Defacto Woman Young Regular Fit Knitted Trousers - Black,"KSh 1,148",50%
Cidea C Idea 7 Inch Android 12 Tablet With SIM Card Slot 64GB Expandable Storage Grey,"KSh 8,999",25%
Dr. Rashel Vanilla Mint Repairing & Soothing Lip Balm,KSh 480,20%
L'Oréal professionnel L&rsquo;Or&eacute;al Professionnel Curl Expression Density Stimulator  90ML,"KSh 5,474",No discount
Dr. Rashel Bamboo Charcoal Black Peel-Off Mask - 120ml - Black & White,KSh 800,No discount
Ramtons RG/516 - 2 Burner Gas Cooker - Black (1YR WRTY),"KSh 6,500",8%
Defacto Man Smart Casual Slim Fit Short Sleeve Knitted Polo T-Shirt - Beige,"KSh 1,401",45%
Defacto Woman Casual Square Neck Short Sleeve Knitted Dress - Black,KSh 948,60%
Danny Home 6 Pc Classy Crystal Clear Glass (Cb01-04),"KSh 1,200",No discount
"Vision Plus Beat Box 2 - Black, (1YR WRTY)","KSh 9,499",37%
Miniso U-shaped Spray Bottle 60ml - Pink,KSh 285,No discount
L'Oréal professionnel L&rsquo;Or&eacute;al Professionnel Curl Expression  Long Lasting Intensive Leave In Moisturizer 200ML,"KSh 3,152",No discount
Rashnik 3 compartment cartoon lunch box (RN-1498),KSh 180,No discount
Sun King Home120 Solar Light With Radio,"KSh 15,950",No discount
Valon Valon Petroleum Jelly Perfumed 250ml,KSh 304,No discount
"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Copper","KSh 2,000",No discount
Defacto Woman Casual Bra - Orange,KSh 563,50%
LASA BOOKCASE FREESTANDING BOOKSHELF WITH OPEN SHELVES,"KSh 10,650",42%
NIVEA MEN Cool Kick Shower Gel For Men - 500ml,KSh 728,30%
Livelle Livelle Toilet Tissue Twins,KSh 110,No discount
LASA CAT6A Ethernet Cable - 3 M,KSh 450,43%
Mara Lemon Grass Essential Oil-30ml,KSh 700,22%
Proline  BENTONITE CLUMPING CAT LITTER ALOE-VERA SCENTED 5L,"KSh 1,267",No discount
Adidas Train Essentials Base 3-stripes Training T-shirt,"KSh 2,554",50%
Danny Home Burgundy Wine Handmade Crystal Glass Set Of 2 (Cry-03),"KSh 1,440",No discount
Veet Veet Cream Sensitive 100g,"KSh 1,000",No discount
Maybelline Fit Me Matte And Poreless Foundation- 352 TRUFFLE,"KSh 1,790",No discount
Defacto Woman Core Regular Fit Knitted Bermuda - Black,KSh 367,60%
Adidas Essentials Embroidered Small Logo T-Shirt Men,"KSh 2,140",53%
"Freeyond F9,3GB+128GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones","KSh 11,662",49%
Dr. Rashel Vitamin C & Niacinamide Brightening Primer Serum,KSh 840,30%
Gold Touch Vitamin C Serum – 30ml,"KSh 1,075",No discount
Ramtons RF/355 - 50*50 4 Gas Cooker,"KSh 24,768",16%
VERSMAN Cool Lotion - 400ml,KSh 520,No discount
Carex Carex Antiseptic Lime Fresh - 250ml,KSh 473,No discount
L'Oréal professionnel Scalp Advanced Anti-Discomfort Dermo-Regulator  Shampoo,"KSh 2,488",No discount
Defacto Woman Casual Regular Fit Woven Long Sleeve Shirt - Ecru,"KSh 1,714",50%
Defacto Woman Coool Oversize Fit Knitted Short Sleeve T-Shirt - Black,KSh 649,60%
Red Berry RSF1001 - Insulated Double Wall Vacuum Flask - 1L - Grey.,"KSh 1,020",No discount
Dettol Dettol Soap Cool 6s Pack on 90gm - 25% OFF,KSh 810,6%
Freeyond Pods1 Earphones BT5.3  ENC Earbuds,"KSh 1,990",31%
Rashnik RN-8016 Solar Light 60w 96,"KSh 2,300",No discount
Rosy Cream Hand Wash Soap Mixed Berries 500ml With Pump,KSh 170,No discount
Dr. Rashel Aloe Vera Soothe & Moisture Lip Balm,KSh 480,20%
"Miniso 4cm Hair Clips 12 Pack , Hair Styling Clips  - Black",KSh 219,No discount
Red Berry RSF811 Insulated Double Wall Vacuum Bottle – 800ml - Black,KSh 840,No discount
LASA 2 Piece Bar Stool Chair Set,"KSh 6,850",31%
Jikokoa Pro Commercial Stove - Black,"KSh 8,990",25%
Poshy Economy Saver Twins,KSh 82,No discount
Solarmax Panel Solar FULLKIT SYTEM 300 WATTS(MONO),"KSh 26,500",34%
Hisense Microwave 23 Liters H23moms5H (2YRs WRTY),"KSh 13,499",10%
LASA Usb C To Usb A Cable Fast Charging Cable 3a - 15cm,KSh 350,38%
Domestos Domestos Original 1L,KSh 849,No discount
Dove Dove Hair Conditioner Intensive Repair - 350ml,KSh 794,1%
Maybelline Fit Me Matte And Poreless Foundation -312 GOLDEN,"KSh 1,700",No discount
L'Oréal professionnel Vitamino 500ML Shampoo,"KSh 3,483",No discount
Bisutang Organic Seaweed Purifying Facial Sheet Mask,KSh 135 - KSh 849,46%
LASA CE-LINK 4K HDMI 2.0 60/30hz 3m Flat Cable - Black,KSh 650,27%
Hisense Washing Machine 10/6kg Wash& Dry Front Load (2YRs WRTY),"KSh 73,999",6%
Ramtons FORBES NECTAR 4000LT NXT GRAVITY PURIFIER - RM/677  (1YR WRTY),"KSh 10,872",16%
"Rashnik 3PCS Aluminium Cookware Set, Non Stick 20cm, 22cm and 24cm (RN-4801)","KSh 4,560",No discount
Adidas Loungewear Essentials 3-Stripes Leggings Women,"KSh 3,255",50%
Oraimo Traveler Link 27 27000mAh 12W Power Bank,"KSh 4,600",23%
Ramtons RM/673 - BLENDER+MILL 1.5 LITERS 5 SPEED (1YR WRTY),"KSh 5,400",8%
Dettol Dettol Jump Liquid Handwash Skincare 400ml,KSh 750,No discount
Bata NAVY BLUE SPORTY,KSh 699,No discount
Beefeater Beefeater London Dry Gin - 750ml,"KSh 2,690",7%
LASA 110cm Storage Ottoman Padded Foldable Bench With Lid,"KSh 5,950",36%
L'Oréal Paris Revitalift Filler Hyaluronic Acid Replumping Tissue Face Mask,KSh 455,30%
Adidas Tensaur Sport 2.0 CF Infant Hook And Loop Shoes,"KSh 2,554",50%
Mara Amla Oil Infusion ( Infused In Coconut Oil) -250ml,KSh 750,No discount
Kalenji Run Active W Shoes Black Pin,"KSh 6,750",No discount
UR Fashion 19-Inch High Quality Multifunctional Large Capacity Business College School Travel Laptop Backpack - Grey,"KSh 2,299",No discount
Velvex Aluminium Foil Embossed 30cm X 5m,KSh 130,No discount
Dr. Rashel Vit C Exfoliating & Brightening Face & Body Scrub,"KSh 1,200",No discount
Defacto Woman Traditional Loose Fit Woven Long Sleeve Shirt - White,"KSh 1,171",60%
Ramtons RM/597- Blender With Chopper And Mill (1YR WRTY),"KSh 7,400",No discount
Revlon ColorStay Makeup Combination/Oily Skin SPF15 30ml-Nude,"KSh 3,273",No discount
Body Sculpture A Pair Of 3kg Vinyl Dumbbell,"KSh 2,600",No discount
Nunix 3In1 Multi-Function Breakfast Maker +Grill Tea-Coffee,"KSh 4,620",No discount
Malfy Malfy Gin Con Rosa - 750ml,"KSh 3,949",16%
Adidas Adilette Aqua Slides Women,"KSh 1,999",57%
Revlon ColorStay 2 In 1 Compact Makeup & Concealer Medium Beige,"KSh 2,525",No discount
Defacto Woman Casual Wallet - Karma,KSh 764,50%
U&I Wireless Earbuds - Jump Series,"KSh 1,299",48%
Adidas Adilette Aqua Slides Kids,"KSh 1,999",48%
